gender	word	n	log_odds_weighted	corpus
MALE	brüderl	23	2.587997967039582	ger
MALE	debatte	23	2.587997967039582	ger
MALE	feinds	23	2.587997967039582	ger
MALE	generalleutnant	23	2.587997967039582	ger
MALE	germanien	23	2.587997967039582	ger
MALE	griffen	23	2.587997967039582	ger
MALE	hoangpuff	23	2.587997967039582	ger
MALE	hott	23	2.587997967039582	ger
MALE	lateiner	23	2.587997967039582	ger
MALE	léocadie	23	2.587997967039582	ger
MALE	madeiros	23	2.587997967039582	ger
MALE	paola	23	2.587997967039582	ger
MALE	privilegien	23	2.587997967039582	ger
MALE	protestieren	23	2.587997967039582	ger
MALE	rademacher	23	2.587997967039582	ger
MALE	rauche	23	2.587997967039582	ger
MALE	schwedschen	23	2.587997967039582	ger
MALE	ß	23	2.587997967039582	ger
MALE	vierzigtausend	23	2.587997967039582	ger
MALE	volturio	23	2.587997967039582	ger
MALE	des	20107	2.5477790899265886	ger
MALE	ähhmm	22	2.5311116673738616	ger
MALE	anzuschaun	22	2.5311116673738616	ger
MALE	baal	22	2.5311116673738616	ger
MALE	bamberg	22	2.5311116673738616	ger
MALE	bataillon	22	2.5311116673738616	ger
MALE	berdoa	22	2.5311116673738616	ger
MALE	beteiligen	22	2.5311116673738616	ger
MALE	bollwerk	22	2.5311116673738616	ger
MALE	duplessis	22	2.5311116673738616	ger
MALE	erstgeburt	22	2.5311116673738616	ger
MALE	graukopf	22	2.5311116673738616	ger
MALE	grumbkow	22	2.5311116673738616	ger
MALE	inschrift	22	2.5311116673738616	ger
MALE	jochai	22	2.5311116673738616	ger
MALE	juris	22	2.5311116673738616	ger
MALE	knallt	22	2.5311116673738616	ger
MALE	kuratorium	22	2.5311116673738616	ger
MALE	lucius	22	2.5311116673738616	ger
MALE	manfreds	22	2.5311116673738616	ger
MALE	roda	22	2.5311116673738616	ger
MALE	rösgen	22	2.5311116673738616	ger
MALE	rotten	22	2.5311116673738616	ger
MALE	schilda	22	2.5311116673738616	ger
MALE	schnelligkeit	22	2.5311116673738616	ger
MALE	technik	22	2.5311116673738616	ger
MALE	truchsessen	22	2.5311116673738616	ger
MALE	unterthänigst	22	2.5311116673738616	ger
MALE	euer	2763	2.499629872825396	ger
MALE	anfrage	21	2.4729171428546364	ger
MALE	baubau	21	2.4729171428546364	ger
MALE	behörden	21	2.4729171428546364	ger
MALE	bewilligen	21	2.4729171428546364	ger
MALE	cellini	21	2.4729171428546364	ger
MALE	chchfft	21	2.4729171428546364	ger
MALE	confrater	21	2.4729171428546364	ger
MALE	dozent	21	2.4729171428546364	ger
MALE	effekt	21	2.4729171428546364	ger
MALE	feldgeschrei	21	2.4729171428546364	ger
MALE	herms	21	2.4729171428546364	ger
MALE	hochroitzpointner	21	2.4729171428546364	ger
MALE	individuum	21	2.4729171428546364	ger
MALE	kriegsministerium	21	2.4729171428546364	ger
MALE	lumpenhund	21	2.4729171428546364	ger
MALE	mandat	21	2.4729171428546364	ger
MALE	mäster	21	2.4729171428546364	ger
MALE	maure	21	2.4729171428546364	ger
MALE	neustadt	21	2.4729171428546364	ger
MALE	nordst	21	2.4729171428546364	ger
MALE	öffnung	21	2.4729171428546364	ger
MALE	polckwitzer	21	2.4729171428546364	ger
MALE	respective	21	2.4729171428546364	ger
MALE	schuften	21	2.4729171428546364	ger
MALE	scipionen	21	2.4729171428546364	ger
MALE	staleno	21	2.4729171428546364	ger
MALE	unsereinen	21	2.4729171428546364	ger
MALE	vorgänger	21	2.4729171428546364	ger
MALE	weltordnung	21	2.4729171428546364	ger
FEMALE	ах	2134	12.627285450171428	rus
FEMALE	не	18700	9.90700342175213	rus
FEMALE	вы	6625	9.342257528447881	rus
FEMALE	он	5268	9.036707240105859	rus
FEMALE	сама	662	8.523064175344084	rus
FEMALE	что	12963	8.508558786745567	rus
FEMALE	батюшка	597	8.022665611738022	rus
FEMALE	я	17012	7.738917530751463	rus
FEMALE	ты	8210	7.4922460762699945	rus
FEMALE	меня	4992	7.273345321503745	rus
FEMALE	уж	2672	7.095582576434579	rus
FEMALE	мой	2245	6.999130665206448	rus
FEMALE	мне	6047	6.988467722062256	rus
FEMALE	рада	242	6.671507545493054	rus
FEMALE	думала	202	6.363137407985184	rus
FEMALE	да	6230	6.015466241981474	rus
FEMALE	хотела	219	5.863323769324925	rus
FEMALE	была	674	5.817057964179538	rus
FEMALE	сказала	234	5.4271447483513064	rus
FEMALE	как	5981	5.397566508533023	rus
FEMALE	видела	173	5.388155555228439	rus
