id	name	playName	normalizedGenre	libretto	firstAuthor	title	subtitle	numOfCoAuthors	maxDegreeIds	numOfSegments	numOfActs	numOfSpeakers	numOfSpeakersMale	numOfSpeakersFemale	numOfSpeakersUnknown	numOfPersonGroups	numOfP	numOfL	wikipediaLinkCount	wordCountText	wordCountSp	wordCountStage	yearWritten	yearPremiered	yearPrinted	yearNormalized	averageDegree	density	averageClustering	size	maxDegree	numConnectedComponents	diameter	averagePathLength	corpus
fre000886	l-estoile-maistre-galimathias	l-estoile-maistre-galimathias	NA	TRUE	L'Estoile	Maître Galimathias pour le Grand Bal	de la Douairière de Billebahaut et de son Fanfan de Sotte-ville	0	several characters	2	0	12	8	1	3	0	0	191	NA	1497	1425	4	NA	NA	1626	1626	7.666666666666667	0.696969696969697	0.8333333333333334	12	9	2	1	1	fre
fre000804	la-calprenede-bradamante	la-calprenede-bradamante	Tragicomedy	FALSE	La Calprenede	La Bradamante	Tragi-Comédie	0	several characters	25	5	11	7	3	1	0	0	2032	NA	18157	17746	139	NA	1636	1637	1636	7.454545454545454	0.7454545454545455	0.8196248196248195	11	9	1	3	1.2727272727272727	fre
fre000805	la-calprenede-clarionte	la-calprenede-clarionte	Tragicomedy	FALSE	La Calprenede	Le Clarionte	Tragi-Comédie	0	melie	22	5	15	8	3	4	0	0	2246	NA	19668	19276	0	NA	1636	1637	1636	6.933333333333334	0.49523809523809526	0.807128427128427	15	12	1	3	1.5523809523809524	fre
fre000806	la-calprenede-comte-d-essex	la-calprenede-comte-d-essex	Tragedy	FALSE	La Calprenede	Le Comte d'Essex	Tragédie	0	elisabeth	27	5	13	5	4	4	0	0	1769	NA	17037	15593	41	NA	1636	1654	1636	4.461538461538462	0.3717948717948718	0.6992673992673993	13	10	1	3	1.7435897435897436	fre
fre000807	la-calprenede-edouard	la-calprenede-edouard	Tragicomedy	FALSE	La Calprenede	Edouard	Tragi-Comédie	0	gloucester|norfolk|edouard	18	5	9	4	1	4	0	0	1825	NA	18146	16032	84	NA	1638	1640	1638	6.222222222222222	0.7777777777777778	0.9047619047619047	9	8	1	2	1.2222222222222223	fre
fre000808	la-calprenede-enfants-d-herode	la-calprenede-enfants-d-herode	Tragedy	FALSE	La Calprenede	La Mort des Enfants d'Hérode	Ou Suite de Mariane	0	herode	21	5	10	7	3	0	0	0	1700	NA	16934	14892	22	NA	1636	1639	1636	5.2	0.5777777777777777	0.7076984126984127	10	9	1	2	1.4222222222222223	fre
fre000809	la-calprenede-hermenegilde	la-calprenede-hermenegilde	Tragedy	FALSE	La Calprenede	Herménégilde	Tragédie	1	indegonde	20	5	12	8	3	1	0	200	0	NA	16177	15814	0	NA	1643	1644	1643	5.666666666666667	0.5151515151515151	0.7486772486772487	12	9	1	3	1.5151515151515151	fre
fre000810	la-calprenede-jeanne	la-calprenede-jeanne	Tragedy	FALSE	La Calprenede	Jeanne Reine d'Angleterre	Tragédie	0	le-comte-de-clocestre	23	5	16	6	4	6	0	0	1714	NA	15529	14876	11	NA	1648	1638	1638	5.75	0.38333333333333336	0.7487599206349207	16	11	1	3	1.7	fre
fre000811	la-calprenede-mort-mitrhidate	la-calprenede-mort-mitrhidate	Tragedy	FALSE	La Calprenede	La Mort de Mitridate	Tragédie	0	pharnace	21	5	10	6	4	0	0	1	1776	NA	18434	15578	228	NA	1635	1637	1635	4.2	0.4666666666666667	0.6733333333333333	10	9	1	2	1.5333333333333334	fre
fre000812	la-calprenede-phalante	la-calprenede-phalante	Tragedy	FALSE	La Calprenede	Phalante	Tragédie	0	helene	24	5	10	6	3	1	0	0	1792	NA	15499	15183	8	NA	1640	1642	1640	6	0.6666666666666666	0.8242857142857142	10	9	1	2	1.3333333333333333	fre
