char_id	d
20208	152.88159040743795
20217	210.17051072450477
20218	219.97155898662913
20220	247.10042689678633
20223	249.17362993896987
20224	229.74379065915846
20229	176.73635405356205
20230	273.00775584953755
20231	265.1355399923422
20238	291.9682101158873
4726	180.4818447608739
4729	173.99705323512615
4732	208.71065162792013
4737	177.7712959498274
4744	222.04721035322186
4745	210.93252492314295
20255	231.46017563689622
20270	225.90868632601695
4776	192.5537878250321
4779	186.47999049136845
4788	160.89689134234374
4789	179.21239206435706
4798	132.60029673736182
4875	118.11343455647123
4883	110.8617334355919
20310	115.87668490690241
4920	184.69459811242743
4921	200.34471295032475
4932	147.69798149242135
4941	176.3435262145371
4975	181.69443470725025
5047	151.67715070410122
5054	215.92590448796062
5066	128.9386539331866
5075	161.0364635461378
20314	176.76144412769688
20319	185.55328676411708
20339	218.75961160118771
20349	269.7900019570278
20353	219.40955239399966
20358	168.99831021309322
20359	219.40286650509495
20365	196.89668609375212
20371	230.77803591441904
20372	196.26479301015834
20397	221.6327146424402
20410	204.43049807710128
20411	196.3780247235533
20416	216.69980069089183
5108	168.2716605660768
5110	199.63208817223887
5113	185.23419121981942
20428	252.81321562465607
20432	187.72724666225764
20439	342.1403349505783
5116	137.55673414117953
20496	232.94530037809832
20500	216.94958289084138
20519	192.42256327339888
20522	210.21082954782068
5151	169.31420579258423
5153	190.87220363483559
5186	132.78448371563124
5208	172.21344830175653
5227	212.22505892154166
5229	159.2179890507787
5238	165.05309108663656
5243	209.13898277580589
5270	123.16633450426946
5281	171.33099354278406
5284	181.5531409618303
5299	185.7332008732586
5300	166.52985904146686
5303	218.17620566712745
5305	140.45593561638415
5321	189.37319952063575
5322	167.6443423416027
5325	226.73922850380723
5342	199.86720828526555
5344	199.8854452930735
5345	175.65910982297228
5352	177.78451932381884
5361	181.28755215214014
5362	170.47048612116134
5370	146.09364495606027
20541	148.86227374307575
20553	193.91362025809687
20556	205.19969802859578
20557	180.2602043531329
20562	187.77374939880585
20563	152.71109131988266
20564	196.01888799337306
20565	194.2290030183905
20566	176.1567267467492
20568	177.08925909133254
20569	193.71034599461098
20570	173.04964389762438
5390	162.62092916592562
5397	183.131403372986
5420	208.34623455902658
5424	178.9766239328798
5432	256.7161093572875
5434	142.66677751626258
5461	148.80288411788965
5463	222.36025277566134
5464	204.34287085599325
5467	120.28830837550458
5472	198.15413644508482
5474	164.8857890707154
5475	202.43417846786284
5477	179.92933888257042
5488	154.70508028994746
